date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:56	578568/578568	---MCZ	200	added ('OK')	text/html	etag:W/%22d646b07a799194de7f323bbbd30689bb%22	https://www.psuigsa.com/travel-to-state-college	/home/nishant/websites/accomodation/www.psuigsa.com/travel-to-state-college.html	(from https://www.psuigsa.com/services-4-2)
16:56:56	580400/580400	---MCZ	200	added ('OK')	text/html	etag:W/%222851f476ea6d902d0703eef9c1d71123%22	https://www.psuigsa.com/transportation	/home/nishant/websites/accomodation/www.psuigsa.com/transportation.html	(from https://www.psuigsa.com/services-4-2)
16:56:58	558752/558752	---MCZ	200	added ('OK')	text/html	etag:W/%223475bde8a4f9046882d54690baaf9d07%22	https://www.psuigsa.com/getting-a-us-phone-number	/home/nishant/websites/accomodation/www.psuigsa.com/getting-a-us-phone-number.html	(from https://www.psuigsa.com/services-4-2)
16:56:59	578752/578752	---MCZ	200	added ('OK')	text/html	etag:W/%221082173a52ee91eccc16a63d3007ceb8%22	https://www.psuigsa.com/opening-a-us-bank-account	/home/nishant/websites/accomodation/www.psuigsa.com/opening-a-us-bank-account.html	(from https://www.psuigsa.com/services-4-2)
16:57:00	587203/587203	---MCZ	200	added ('OK')	text/html	etag:W/%220ab18bf295adc948f64ff6db9fcbbfa7%22	https://www.psuigsa.com/the-campus-tour	/home/nishant/websites/accomodation/www.psuigsa.com/the-campus-tour.html	(from https://www.psuigsa.com/events)
16:57:01	587180/587180	---MCZ	200	added ('OK')	text/html	etag:W/%2224d2d6ebf04a411f45110f7cffeaf9d3%22	https://www.psuigsa.com/fall-mixer	/home/nishant/websites/accomodation/www.psuigsa.com/fall-mixer.html	(from https://www.psuigsa.com/events)
16:57:01	587424/587424	---MCZ	200	added ('OK')	text/html	etag:W/%22165517d54e4b70d3ad2e649814260672%22	https://www.psuigsa.com/breakzone	/home/nishant/websites/accomodation/www.psuigsa.com/breakzone.html	(from https://www.psuigsa.com/events)
16:57:03	585618/585618	---MCZ	200	added ('OK')	text/html	etag:W/%2218157078d5b1cb06d6bb616aae8a27cd%22	https://www.psuigsa.com/durga-puja	/home/nishant/websites/accomodation/www.psuigsa.com/durga-puja.html	(from https://www.psuigsa.com/events)
16:57:04	565558/565558	---MCZ	200	added ('OK')	text/html	etag:W/%22cebb042167d25e520b7541483ad6deef%22	https://www.psuigsa.com/diwali-mela	/home/nishant/websites/accomodation/www.psuigsa.com/diwali-mela.html	(from https://www.psuigsa.com/events)
16:57:05	588247/588247	---MCZ	200	added ('OK')	text/html	etag:W/%220812f8926567f800c5eaefa6dd686807%22	https://www.psuigsa.com/pongal	/home/nishant/websites/accomodation/www.psuigsa.com/pongal.html	(from https://www.psuigsa.com/events)
16:57:06	587441/587441	---MCZ	200	added ('OK')	text/html	etag:W/%226b9459083d43faac7a41252566f12ccb%22	https://www.psuigsa.com/jashn	/home/nishant/websites/accomodation/www.psuigsa.com/jashn.html	(from https://www.psuigsa.com/events)
16:57:06	587253/587253	---MCZ	200	added ('OK')	text/html	etag:W/%22378e8fdde7d0480564f855e0d209bd2b%22	https://www.psuigsa.com/holi-celebrations	/home/nishant/websites/accomodation/www.psuigsa.com/holi-celebrations.html	(from https://www.psuigsa.com/events)
16:57:08	584870/584870	---MCZ	200	added ('OK')	text/html	etag:W/%220b453c79ccae77a62efb22bde1483dfd%22	https://www.psuigsa.com/annual-fundraiser-dinner	/home/nishant/websites/accomodation/www.psuigsa.com/annual-fundraiser-dinner.html	(from https://www.psuigsa.com/events)
16:57:09	578955/578955	---MCZ	200	added ('OK')	text/html	etag:W/%2231bdfc0edbb93c57f566d22e26254108%22	https://www.psuigsa.com/quick-tips	/home/nishant/websites/accomodation/www.psuigsa.com/quick-tips.html	(from https://www.psuigsa.com/departure-checklist)
